Date,Time,Irradiance
12/27/2024,14:54:20,000.0
12/27/2024,15:04:20,000.0
12/27/2024,15:14:20,000.0
12/27/2024,15:24:20,000.0
12/27/2024,15:34:20,000.0
12/27/2024,15:44:20,000.0
12/27/2024,15:54:20,000.0
12/27/2024,16:04:20,000.0
12/27/2024,16:14:20,000.0
12/27/2024,16:24:20,000.0
12/27/2024,16:34:20,000.0
12/27/2024,16:44:20,000.0
12/27/2024,16:54:20,000.0
12/27/2024,17:04:20,000.0
12/27/2024,17:14:20,000.0
12/27/2024,17:24:20,000.0
12/27/2024,17:34:20,000.0
12/27/2024,17:44:20,000.0
12/27/2024,17:54:20,000.0
12/27/2024,18:04:20,000.0
12/27/2024,18:14:20,000.0
12/27/2024,18:24:20,000.0
12/27/2024,18:34:20,000.0
12/27/2024,18:44:20,000.0
12/27/2024,18:54:20,000.0
12/27/2024,19:04:20,000.0
12/27/2024,19:14:20,000.0
12/27/2024,19:24:20,000.0
12/27/2024,19:34:20,000.0
12/27/2024,19:44:20,000.0
12/27/2024,19:54:20,000.0
12/27/2024,20:04:20,000.0
12/27/2024,20:14:20,000.0
12/27/2024,20:24:20,000.0
12/27/2024,20:34:20,000.0
12/27/2024,20:44:20,000.0
12/27/2024,20:54:20,000.0
12/27/2024,21:04:20,000.0
12/27/2024,21:14:20,000.0
12/27/2024,21:24:20,000.0
12/27/2024,21:34:20,000.0
12/27/2024,21:44:20,000.0
12/27/2024,21:54:20,000.0
12/27/2024,22:04:20,000.0
12/27/2024,22:14:20,000.0
12/27/2024,22:24:20,000.0
12/27/2024,22:34:20,000.1
12/27/2024,22:44:20,000.9
12/27/2024,22:54:20,007.9
12/27/2024,23:04:20,016.6
12/27/2024,23:14:20,025.5
12/27/2024,23:24:20,032.9
12/27/2024,23:34:20,041.1
12/27/2024,23:44:20,048.7
12/27/2024,23:54:20,044.4
